,PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
7215,037 BALBOA," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
7216,037 BALBOA," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
7217,037 BALBOA," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),813,37,37,3,1,1,3321,0,4227,15
7218,037 BALBOA," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),698,37,37,3,1,1,3321,0,4227,15
7219,037 BALBOA," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),862,37,37,3,1,1,3321,0,4227,15
7220,037 BALBOA," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),943,37,37,3,1,1,3321,0,4227,15
7221,037 BALBOA,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),5,37,37,3,1,1,3321,1,4227,15
13734,070 CAIRO," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
13735,070 CAIRO," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
13736,070 CAIRO," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),561,70,70,3,1,1,2601,0,3552,3
13737,070 CAIRO," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),625,70,70,3,1,1,2601,0,3552,3
13738,070 CAIRO," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),634,70,70,3,1,1,2601,0,3552,3
13739,070 CAIRO," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),757,70,70,3,1,1,2601,0,3552,3
13740,070 CAIRO,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),24,70,70,3,1,1,2601,1,3552,3
32199,163 DARROW," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
32200,163 DARROW," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
32201,163 DARROW," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),416,163,163,3,1,1,1776,0,2100,6
32202,163 DARROW," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),402,163,163,3,1,1,1776,0,2100,6
32203,163 DARROW," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),457,163,163,3,1,1,1776,0,2100,6
32204,163 DARROW," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),490,163,163,3,1,1,1776,0,2100,6
32205,163 DARROW,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),11,163,163,3,1,1,1776,1,2100,6
36934,187 DIABLO," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
36935,187 DIABLO," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
36936,187 DIABLO," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),445,187,187,3,1,1,1733,0,1855,0
36937,187 DIABLO," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),375,187,187,3,1,1,1733,0,1855,0
36938,187 DIABLO," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),426,187,187,3,1,1,1733,0,1855,0
36939,187 DIABLO," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),476,187,187,3,1,1,1733,0,1855,0
