CONTEST_ID	CONTEST_ORDER	CANDIDATE_ORDER	TOTAL	CANDIDATE_PARTY_ID	CANDIDATE_ID	VOTE_FOR	CONTEST_TYPE	CANDIDATE_TYPE	TOTAL_PRECINCTS	PROCESSED_DONE	PROCESSED_STARTED	IS_WRITEIN_CANDIDATE	CONTEST_FULL_NAME	CANDIDATE_FULL_NAME	CONTEST_TOTAL	undervote	overvote	IS_WINNER	cf_cand_class	IS_PRECINCT_LEVEL	PRECINCT_NAME
0	-100	1	356769		1	0	-2	0		724	0	0	Registration & Turnout	Election Day Paper Turnout	2161716	0	0	0	candidate	0	
0	-100	2	1251975		2	0	-2	0		724	0	0	Registration & Turnout	Early Voting Paper Turnout	2161716	0	0	0	candidate	0	
0	-100	3	3		3	0	-2	0		724	0	0	Registration & Turnout	Early Voting Edge Turnout	2161716	0	0	0	candidate	0	
0	-100	4	128		6	0	-2	0		724	0	0	Registration & Turnout	Election Day Edge  Turnout	2161716	0	0	0	candidate	0	
9	3	1	747361	1	373	1	0	0	724	724	724	0	Presidential Electors	REP - TRUMP PENCE	1567834	19256	21785	1	winner	0	
9	3	2	702907	2	374	1	0	0	724	724	724	0	Presidential Electors	DEM - CLINTON KAINE	1567834	19256	21785	0	candidate	0	
9	3	3	67043	3	375	1	0	0	724	724	724	0	Presidential Electors	LBT - JOHNSON WELD	1567834	19256	21785	0	candidate	0	
9	3	4	19432	4	376	1	0	0	724	724	724	0	Presidential Electors	GRN - STEIN BARAKA	1567834	19256	21785	0	candidate	0	
9	3	5	31091	0	1	1	0	3	724	724	724	1	Presidential Electors	Write-In Candidate	1567834	19256	21785	0	candidate	0	
10	4	1	842425	1	377	1	0	0	724	724	724	0	US Senate	REP - MCCAIN, JOHN	1534633	54410	19832	1	winner	0	
10	4	2	602635	2	378	1	0	0	724	724	724	0	US Senate	DEM - KIRKPATRICK, ANN	1534633	54410	19832	0	candidate	0	
10	4	3	79724	4	379	1	0	0	724	724	724	0	US Senate	GRN - SWING, GARY	1534633	54410	19832	0	candidate	0	
10	4	4	9849	0	2	1	0	3	724	724	724	1	US Senate	Write-In Candidate	1534633	54410	19832	0	candidate	0	
11	5	1	100	1	380	1	0	0	3	3	3	0	US Rep Dst CD 1	REP - BABEU, PAUL	491	30	2	0	candidate	0	
11	5	2	354	2	381	1	0	0	3	3	3	0	US Rep Dst CD 1	DEM - O'HALLERAN, TOM	491	30	2	1	winner	0	
11	5	3	34	4	382	1	0	0	3	3	3	0	US Rep Dst CD 1	GRN - PARRISH, RAY	491	30	2	0	candidate	0	
11	5	4	3	0	3	1	0	3	3	3	3	1	US Rep Dst CD 1	Write-In Candidate	491	30	2	0	candidate	0	
12	6	1	46832	2	383	1	0	0	46	46	46	0	US Rep Dst CD 3	DEM - GRIJALVA, RAÚL	49790	22790	192	1	winner	0	
12	6	2	2958	0	4	1	0	3	46	46	46	1	US Rep Dst CD 3	Write-In Candidate	49790	22790	192	0	candidate	0	
13	7	1	14232	1	384	1	0	0	18	18	18	0	US Rep Dst CD 4	REP - GOSAR, PAUL	19731	1486	30	1	winner	0	
13	7	2	5443	2	385	1	0	0	18	18	18	0	US Rep Dst CD 4	DEM - WEISSER, MIKEL	19731	1486	30	0	candidate	0	
13	7	3	56	0	5	1	0	3	18	18	18	1	US Rep Dst CD 4	Write-In Candidate	19731	1486	30	0	candidate	0	
14	8	1	205184	1	386	1	0	0	113	113	113	0	US Rep Dst CD 5	REP - BIGGS, ANDY	320929	28722	423	1	winner	0	
14	8	2	114940	2	387	1	0	0	113	113	113	0	US Rep Dst CD 5	DEM - FUENTES, TALIA	320929	28722	423	0	candidate	0	
14	8	3	805	0	6	1	0	3	113	113	113	1	US Rep Dst CD 5	Write-In Candidate	320929	28722	423	0	candidate	0	
15	9	1	201578	1	388	1	0	0	156	156	156	0	US Rep Dst CD 6	REP - SCHWEIKERT, DAVID	325126	27611	472	1	winner	0	
15	9	2	122866	2	389	1	0	0	156	156	156	0	US Rep Dst CD 6	DEM - WILLIAMSON, W. JOHN	325126	27611	472	0	candidate	0	
15	9	3	682	0	7	1	0	3	156	156	156	1	US Rep Dst CD 6	Write-In Candidate	325126	27611	472	0	candidate	0	
16	10	1	39286	1	390	1	0	0	105	105	105	0	US Rep Dst CD 7	REP - NUNEZ, EVE	159349	11956	794	0	candidate	0	
16	10	2	119465	2	391	1	0	0	105	105	105	0	US Rep Dst CD 7	DEM - GALLEGO, RUBEN	159349	11956	794	1	winner	0	
16	10	3	598	0	8	1	0	3	105	105	105	1	US Rep Dst CD 7	Write-In Candidate	159349	11956	794	0	candidate	0	
17	11	1	204942	1	392	1	0	0	142	142	142	0	US Rep Dst CD 8	REP - FRANKS, TRENT	300396	40245	496	1	winner	0	
17	11	2	93954	4	393	1	0	0	142	142	142	0	US Rep Dst CD 8	GRN - SALAZAR, MARK	300396	40245	496	0	candidate	0	
17	11	3	1500	0	9	1	0	3	142	142	142	1	US Rep Dst CD 8	Write-In Candidate	300396	40245	496	0	candidate	0	
18	12	1	108350	1	394	1	0	0	141	141	141	0	US Rep Dst CD 9	REP - GILES, DAVE	278192	19121	501	0	candidate	0	
18	12	2	169055	2	395	1	0	0	141	141	141	0	US Rep Dst CD 9	DEM - SINEMA, KYRSTEN	278192	19121	501	1	winner	0	
18	12	3	787	0	10	1	0	3	141	141	141	1	US Rep Dst CD 9	Write-In Candidate	278192	19121	501	0	candidate	0	
19	13	1	26346	1	396	1	0	0	14	14	14	0	State Senator Dst 1	REP - FANN, KAREN	26764	9637	19	1	winner	0	
19	13	2	418	0	11	1	0	3	14	14	14	1	State Senator Dst 1	Write-In Candidate	26764	9637	19	0	candidate	0	
20	14	1	20814	1	397	2	0	0	14	14	14	0	State Rep Dst 1 (vote for 2)	REP - CAMPBELL, NOEL	54348	18358	134	1	winner	0	
20	14	2	20322	1	398	2	0	0	14	14	14	0	State Rep Dst 1 (vote for 2)	REP - STRINGER, DAVID	54348	18358	134	1	winner	0	
20	14	3	9428	2	399	2	0	0	14	14	14	0	State Rep Dst 1 (vote for 2)	DEM - PIERSON, PETER	54348	18358	134	0	candidate	0	
20	14	4	3713	4	400	2	0	0	14	14	14	0	State Rep Dst 1 (vote for 2)	GRN - KNAUER, HARYAKSHA GREGOR	54348	18358	134	0	candidate	0	
20	14	5	71	0	12	2	0	3	14	14	14	1	State Rep Dst 1 (vote for 2)	Write-In Candidate	54348	18358	134	0	candidate	0	
21	15	1	12505	2	401	1	0	0	18	18	18	0	State Senator Dst 4	DEM - OTONDO, LISA	13185	9026	47	1	winner	0	
21	15	2	680	0	14	1	0	3	18	18	18	1	State Senator Dst 4	Write-In Candidate	13185	9026	47	0	candidate	0	
22	16	1	10112	2	402	2	0	0	18	18	18	0	State Rep Dst 4 (vote for 2)	DEM - FERNANDEZ, CHARLENE R.	20166	24324	26	1	winner	0	
22	16	2	9190	2	403	2	0	0	18	18	18	0	State Rep Dst 4 (vote for 2)	DEM - RUBALCAVA, JESUS	20166	24324	26	1	winner	0	
22	16	3	864	0	15	2	0	3	18	18	18	1	State Rep Dst 4 (vote for 2)	Write-In Candidate	20166	24324	26	0	candidate	0	
